year,age,births
1981,20,2691
1981,21,2961
1981,22,3285
1981,23,3651
1981,24,3936
1981,25,3972
1981,26,3921
1981,27,3759
1981,28,3267
1981,29,2910
1981,30,2382
1981,31,2055
1981,32,1614
1981,33,1269
1981,34,1038
1981,35,657
1981,36,465
1981,37,360
1981,38,270
1981,39,204
1981,40,150
1981,41,84
1981,42,66
1981,43,51
1981,44,24
1981,45,6
1981,46,6
1982,14,33
1982,15,153
1982,16,462
1982,17,1014
1982,18,1506
1982,19,1932
1982,20,2436
1982,21,2823
1982,22,3180
1982,23,3639
1982,24,3696
1982,25,3912
1982,26,4032
1982,27,3684
1982,28,3408
1982,29,2952
1982,30,2517
1982,31,2058
1982,32,1632
1982,33,1272
1982,34,1008
1982,35,801
1982,36,528
1982,37,381
1982,38,276
1982,39,186
1982,40,147
1982,41,87
1982,42,78
1982,43,42
1982,44,21
1982,45,15
1982,46,9
1983,14,33
1983,15,144
1983,16,474
1983,17,909
1983,18,1380
1983,19,1854
1983,20,2343
1983,21,2808
1983,22,3270
1983,23,3585
1983,24,3747
1983,25,3903
1983,26,3945
1983,27,3858
1983,28,3573
1983,29,3096
1983,30,2610
1983,31,2109
1983,32,1743
1983,33,1407
1983,34,1017
1983,35,813
1983,36,576
1983,37,378
1983,38,291
1983,39,207
1983,40,141
1983,41,96
1983,42,72
1983,43,36
1983,44,21
1983,45,9
1983,46,6
1984,14,36
1984,15,156
1984,16,447
1984,17,903
1984,18,1302
1984,19,1662
1984,20,2154
1984,21,2694
1984,22,3150
1984,23,3582
1984,24,3795
1984,25,4194
1984,26,4038
1984,27,3930
1984,28,3807
1984,29,3330
1984,30,2811
1984,31,2286
1984,32,1800
1984,33,1488
1984,34,1131
1984,35,876
1984,36,672
1984,37,453
1984,38,312
1984,39,216
1984,40,141
1984,41,99
1984,42,87
1984,43,42
1984,44,21
1984,45,9
1984,46,9
1985,14,33
1985,15,147
1985,16,444
1985,17,930
1985,18,1269
1985,19,1710
1985,20,1950
1985,21,2508
1985,22,3048
1985,23,3534
1985,24,3894
1985,25,4092
1985,26,4173
1985,27,3978
1985,28,3645
1985,29,3426
1985,30,2871
1985,31,2427
1985,32,1983
1985,33,1551
1985,34,1134
1985,35,915
1985,36,699
1985,37,486
1985,38,357
1985,39,210
1985,40,147
1985,41,96
1985,42,69
1985,43,36
1985,44,15
1985,45,9
1985,46,6
1986,14,30
1986,15,132
1986,16,453
1986,17,924
1986,18,1311
1986,19,1653
1986,20,2031
1986,21,2427
1986,22,2874
1986,23,3483
1986,24,3795
1986,25,3990
1986,26,4164
1986,27,4080
1986,28,3843
1986,29,3507
1986,30,3189
1986,31,2583
1986,32,2103
1986,33,1662
1986,34,1260
1986,35,975
1986,36,753
1986,37,543
1986,38,378
1986,39,267
1986,40,171
1986,41,90
1986,42,63
1986,43,33
1986,44,30
1986,45,9
1986,46,9
1987,14,39
1987,15,141
1987,16,486
1987,17,951
1987,18,1365
1987,19,1815
1987,20,2058
1987,21,2397
1987,22,2814
1987,23,3351
1987,24,3819
1987,25,4095
1987,26,4362
1987,27,4197
1987,28,4116
1987,29,3687
1987,30,3300
1987,31,2865
1987,32,2268
1987,33,1902
1987,34,1488
1987,35,1086
1987,36,831
1987,37,585
1987,38,456
1987,39,312
1987,40,183
1987,41,114
1987,42,69
1987,43,45
1987,44,33
1987,45,15
1987,46,3
1988,14,18
